source_code;target_table;data_type;canonical_metric;available_years
C11_EMPLT_CTS;composition;NUM;emplois_au_lt_commerce_transports_services_divers_compl;2011
C11_EMPLT_F;composition;NUM;emplois_femmes_au_lt_compl;2011
C11_EMPLT_INDUS;composition;NUM;emplois_au_lt_industrie_compl;2011
C11_EMPLT_SAL;composition;NUM;emplois_salaries_au_lt_compl;2011
C11_F15P;composition;NUM;pop_15_ans_ou_plus_femmes_compl;2011
C11_F15P_CS1;composition;NUM;pop_15_ans_ou_plus_femmes_agriculteurs_exploitants_compl;2011
C11_F15P_CS2;composition;NUM;pop_15_ans_ou_plus_femmes_artisans_comm_chefs_entr_compl;2011
C11_F15P_CS3;composition;NUM;pop_15_ans_ou_plus_femmes_cadres_prof_intel_sup_compl;2011
C11_F15P_CS4;composition;NUM;pop_15_ans_ou_plus_femmes_prof_intermediaires_compl;2011
C11_F15P_CS5;composition;NUM;pop_15_ans_ou_plus_femmes_employes_compl;2011
C11_F15P_CS6;composition;NUM;pop_15_ans_ou_plus_femmes_ouvriers_compl;2011
C11_FAM;composition;NUM;familles_compl;2011
C11_FAMMONO;composition;NUM;fam_monoparentales_compl;2011
C11_FMONO;composition;NUM;fam_mono_femmes_avec_enfants;2011
C11_H15P;composition;NUM;pop_15_ans_ou_plus_hommes_compl;2011
C11_H15P_CS1;composition;NUM;pop_15_ans_ou_plus_hommes_agriculteurs_exploitants_compl;2011
C11_H15P_CS2;composition;NUM;pop_15_ans_ou_plus_hommes_artisans_comm_chefs_entr_compl;2011
C11_H15P_CS3;composition;NUM;pop_15_ans_ou_plus_hommes_cadres_prof_intel_sup_compl;2011
C11_H15P_CS4;composition;NUM;pop_15_ans_ou_plus_hommes_prof_intermediaires_compl;2011
C11_H15P_CS5;composition;NUM;pop_15_ans_ou_plus_hommes_employes_compl;2011
C11_H15P_CS6;composition;NUM;pop_15_ans_ou_plus_hommes_ouvriers_compl;2011
C11_HMONO;composition;NUM;fam_mono_hommes_avec_enfants;2011
C11_INDUSLT_F;composition;NUM;emplois_femmes_au_lt_industrie_compl;2011
C11_INDUSLT_FNSAL;composition;NUM;emplois_non_sal_femmes_au_lt_industrie_compl;2011
C11_INDUSLT_FSAL;composition;NUM;emplois_salaries_femmes_au_lt_industrie_compl;2011
C11_INDUSLT_NSAL;composition;NUM;emplois_non_salaries_au_lt_industrie_compl;2011
C11_INDUSLT_SAL;composition;NUM;emplois_salaries_au_lt_industrie_compl;2011
C11_MEN;composition;NUM;menages_compl;2011
C11_MENCOUPAENF;composition;NUM;men_fam_princ_couple_avec_enfant_s_compl;2011
C11_MENCOUPSENF;composition;NUM;men_fam_princ_couple_sans_enfant_compl;2011
C11_MENFAM;composition;NUM;menages_avec_famille_s_compl;2011
C11_MENFAMMONO;composition;NUM;men_fam_princ_famille_mono_compl;2011
C11_MENFSEUL;composition;NUM;menages_femmes_seules_compl;2011
C11_MENHSEUL;composition;NUM;menages_hommes_seuls_compl;2011
C11_MENPSEUL;composition;NUM;menages_1_personne_compl;2011
C11_MENSFAM;composition;NUM;menages_autres_sans_famille_compl;2011
